transaction_id,client_id,compte_destination_id,date_transaction,montant_fcfa,type_transaction,is_risky,type_anomalie,source
AMLSIM-0,AMLSIM-CLI-0,AMLSIM-CLI-143,2026-05-30,62900.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-1,AMLSIM-CLI-0,AMLSIM-CLI-373,2026-02-17,102700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-2,AMLSIM-CLI-0,AMLSIM-CLI-16,2026-05-07,5300.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-3,AMLSIM-CLI-0,AMLSIM-CLI-54,2026-06-11,51800.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-4,AMLSIM-CLI-0,AMLSIM-CLI-7,2026-07-03,44200.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-5,AMLSIM-CLI-0,AMLSIM-CLI-18,2026-03-06,118400.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-6,AMLSIM-CLI-0,AMLSIM-CLI-71,2026-04-15,48400.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-7,AMLSIM-CLI-0,AMLSIM-CLI-41,2026-04-24,75300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-8,AMLSIM-CLI-0,AMLSIM-CLI-43,2026-07-11,67500.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-9,AMLSIM-CLI-0,AMLSIM-CLI-86,2026-03-23,118300.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-10,AMLSIM-CLI-0,AMLSIM-CLI-9,2026-06-08,36700.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-11,AMLSIM-CLI-0,AMLSIM-CLI-39,2026-04-23,172700.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-12,AMLSIM-CLI-0,AMLSIM-CLI-35,2026-06-18,28100.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-13,AMLSIM-CLI-0,AMLSIM-CLI-2,2026-05-02,80800.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-14,AMLSIM-CLI-0,AMLSIM-CLI-1177,2026-06-15,70900.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-16,AMLSIM-CLI-0,AMLSIM-CLI-42,2026-04-08,474600.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-17,AMLSIM-CLI-0,AMLSIM-CLI-19,2026-07-14,25600.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-64143,AMLSIM-CLI-0,AMLSIM-CLI-2042,2026-05-02,49000.0,transfert_sortant,True,fan_out,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-19,AMLSIM-CLI-1,AMLSIM-CLI-324,2026-03-08,39700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-20,AMLSIM-CLI-1,AMLSIM-CLI-61,2026-04-28,18200.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-21,AMLSIM-CLI-1,AMLSIM-CLI-490,2026-06-02,101900.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
AMLSIM-22,AMLSIM-CLI-1,AMLSIM-CLI-621,2026-07-01,12400.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE
