transaction_id,client_id,date_transaction,montant_fcfa,type_transaction,compte_destination_id,corridor,is_risky,type_anomalie
a17918e8,CLI-00533,2026-02-03 00:00:00,10000.0,retrait,,transfrontalier_sensible,False,aucune
548bb089,CLI-00554,2026-02-03 00:00:00,60200.0,remboursement_credit,,local,False,aucune
d7ef78e5,CLI-00550,2026-02-03 00:00:00,13500.0,transfert_sortant,CLI-00019,local,False,aucune
86660825,CLI-00363,2026-02-03 00:00:00,21200.0,remboursement_credit,,local,False,aucune
c2c749e6,CLI-00170,2026-02-03 00:00:00,9800.0,depot,,local,False,aucune
cb310b90,CLI-00799,2026-02-03 00:00:00,7200.0,depot,,regional_uemoa,False,aucune
8799446f,CLI-00643,2026-02-03 00:00:00,8500.0,depot,,local,False,aucune
6f89572e,CLI-00269,2026-02-03 00:00:00,3700.0,transfert_entrant,CLI-00001,local,False,aucune
45d25b87,CLI-00529,2026-02-03 00:00:00,76100.0,retrait,,local,False,aucune
f43f4617,CLI-00278,2026-02-03 00:00:00,19900.0,transfert_sortant,CLI-00715,local,False,aucune
47e40358,CLI-00279,2026-02-03 00:00:00,29400.0,transfert_sortant,CLI-00170,local,False,aucune
be58ef25,CLI-00645,2026-02-03 00:00:00,34300.0,depot,,local,False,aucune
a1b8c479,CLI-00768,2026-02-03 00:00:00,21700.0,depot,,local,False,aucune
6ebb2edb,CLI-00095,2026-02-03 00:00:00,48400.0,transfert_entrant,CLI-00269,regional_uemoa,False,aucune
9028267d,CLI-00350,2026-02-03 00:00:00,9500.0,remboursement_credit,,local,False,aucune
52fff2fb,CLI-00102,2026-02-03 00:00:00,56400.0,depot,,local,False,aucune
562efe0a,CLI-00241,2026-02-03 00:00:00,8100.0,decaissement_credit,,regional_uemoa,False,aucune
74af83ac,CLI-00113,2026-02-03 00:00:00,128100.0,retrait,,regional_uemoa,False,aucune
affc4088,CLI-00267,2026-02-03 00:00:00,29400.0,retrait,,regional_uemoa,False,aucune
f5315b7a,CLI-00257,2026-02-03 00:00:00,203000.0,retrait,,local,False,aucune
c38889ae,CLI-00131,2026-02-03 00:00:00,5800.0,depot,,local,False,aucune
f6498432,CLI-00025,2026-02-03 00:00:00,8000.0,remboursement_credit,,local,False,aucune
2b74675f,CLI-00586,2026-02-03 00:00:00,63000.0,remboursement_credit,,local,False,aucune
9b7e6413,CLI-00405,2026-02-03 00:00:00,14000.0,retrait,,local,False,aucune
b28198c1,CLI-00383,2026-02-03 00:00:00,232800.0,depot,,local,False,aucune
