transaction_id,client_id,compte_destination_id,date_transaction,montant_fcfa,type_transaction,is_risky,type_anomalie,source,corridor
AMLSIM-0,AMLSIM-CLI-0,AMLSIM-CLI-143,2026-05-30,62900.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-1,AMLSIM-CLI-0,AMLSIM-CLI-373,2026-02-17,102700.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-2,AMLSIM-CLI-0,AMLSIM-CLI-16,2026-05-07,5300.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-3,AMLSIM-CLI-0,AMLSIM-CLI-54,2026-06-11,51800.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-4,AMLSIM-CLI-0,AMLSIM-CLI-7,2026-07-03,44200.0,transfert_sortant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-5,AMLSIM-CLI-0,AMLSIM-CLI-18,2026-03-06,118400.0,decaissement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-6,AMLSIM-CLI-0,AMLSIM-CLI-71,2026-04-15,48400.0,remboursement_credit,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-7,AMLSIM-CLI-0,AMLSIM-CLI-41,2026-04-24,75300.0,retrait,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-8,AMLSIM-CLI-0,AMLSIM-CLI-43,2026-07-11,67500.0,depot,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
AMLSIM-9,AMLSIM-CLI-0,AMLSIM-CLI-86,2026-03-23,118300.0,transfert_entrant,False,aucune,AMLSIM_IBM_TOPOLOGIE_REELLE,local
